"filename", "language", "PHP", "CSS", "JavaScript", "JSON", "Markdown", "XML", "SQL", "Ini", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ManualPaginatorService.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 16
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\OrderItemsService.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\OrderService.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ProductCartService.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 36
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ProductService.php", "PHP", 63, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ReviewService.php", "PHP", 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 47
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\SMSRU.php", "PHP", 174, 0, 0, 0, 0, 0, 0, 0, 0, 84, 45, 303
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\SMSRUcallback.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 9, 5, 24
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\SearchFormKeyAuthService.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 34
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\UpdateSessionValueJson.php", "PHP", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 25
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\UserService.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ValidateEmailService.php", "PHP", 1, 0, 0, 0, 0, 0, 0, 0, 0, 38, 6, 45
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ValidatePasswordHashService.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 21
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\VerifyPhoneService.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 36
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\APILayout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\AdminLayout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormCheckboxInputs.php", "PHP", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormHiddenInputs.php", "PHP", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 22
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormInputs.php", "PHP", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 30
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsInputs\SearchForm\SearchFormQueryInputs.php", "PHP", 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ComponentsMethods\SearchForm\SearchFormSearchMethod.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 44
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Error.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 30
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ErrorAjax.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 29
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\FilterForm.php", "PHP", 30, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 45
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Layout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Pagination.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 30
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\SearchForm.php", "PHP", 32, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 47
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\SellerLayout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"c:\Users\admin\source\repos\Silerium_laravel\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
