"filename", "language", "PHP", "JavaScript", "CSS", "Markdown", "XML", "JSON", "SQL", "Properties", "Ini", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ConvertCurrencyService.php", "PHP", 10, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 14
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\DeleteClosedOrdersService.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\EmailValidationService.php", "PHP", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 45
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\FilterItemsService.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ManualPaginatorService.php", "PHP", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 15
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\OrderService.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\PhoneValidationService.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ProductService.php", "PHP", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 68
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ReviewService.php", "PHP", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 46
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\UserService.php", "PHP", 31, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ValidatePasswordHashService.php", "PHP", 19, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 26
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\APILayout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\AdminLayout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Error.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 30
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\ErrorAjax.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 10, 6, 29
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\FilterForm.php", "PHP", 21, 0, 0, 0, 0, 0, 0, 0, 0, 10, 4, 35
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Layout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\Pagination.php", "PHP", 15, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 30
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\SearchForm.php", "PHP", 25, 0, 0, 0, 0, 0, 0, 0, 0, 10, 5, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\SellerLayout.php", "PHP", 13, 0, 0, 0, 0, 0, 0, 0, 0, 11, 5, 29
"c:\Users\admin\source\repos\Silerium_laravel\bootstrap\app.php", "PHP", 17, 0, 0, 0, 0, 0, 0, 0, 0, 30, 9, 56
"c:\Users\admin\source\repos\Silerium_laravel\composer.json", "JSON", 0, 0, 0, 0, 0, 72, 0, 0, 0, 0, 1, 73
"c:\Users\admin\source\repos\Silerium_laravel\composer.lock", "JSON", 0, 0, 0, 0, 0, 9563, 0, 0, 0, 0, 1, 9564
"c:\Users\admin\source\repos\Silerium_laravel\config\app.php", "PHP", 72, 0, 0, 0, 0, 0, 0, 0, 0, 134, 32, 238
