"filename", "language", "PHP", "SQL", "JSON", "Properties", "comment", "blank", "total"
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\DeleteClosedOrdersService.php", "PHP", 17, 0, 0, 0, 0, 3, 20
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\FilterItemsService.php", "PHP", 31, 0, 0, 0, 0, 2, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\MakeUserService.php", "PHP", -28, 0, 0, 0, 0, -2, -30
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ManualPaginatorService.php", "PHP", 12, 0, 0, 0, 0, 3, 15
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\OrderProductsService.php", "PHP", -31, 0, 0, 0, 0, -2, -33
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\OrderService.php", "PHP", 25, 0, 0, 0, 0, 2, 27
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ProductService.php", "PHP", 66, 0, 0, 0, 0, 2, 68
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\ReviewService.php", "PHP", 44, 0, 0, 0, 0, 2, 46
"c:\Users\admin\source\repos\Silerium_laravel\app\Services\UserService.php", "PHP", 31, 0, 0, 0, 0, 2, 33
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\CustomPagination.php", "PHP", -14, 0, 0, 0, -11, -5, -30
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\FilterForm.php", "PHP", 21, 0, 0, 0, 10, 4, 35
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\SearchForm.php", "PHP", 25, 0, 0, 0, 10, 5, 40
"c:\Users\admin\source\repos\Silerium_laravel\app\View\Components\SellerLayout.php", "PHP", 13, 0, 0, 0, 11, 5, 29
"c:\Users\admin\source\repos\Silerium_laravel\composer.json", "JSON", 0, 0, 1, 0, 0, 0, 1
"c:\Users\admin\source\repos\Silerium_laravel\composer.lock", "JSON", 0, 0, 391, 0, 0, 0, 391
"c:\Users\admin\source\repos\Silerium_laravel\config\app.php", "PHP", 15, 0, 0, 0, 0, 0, 15
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2014_10_12_000000_create_users_table.php", "PHP", -23, 0, 0, 0, -10, -4, -37
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2014_10_12_100000_create_password_resets_table.php", "PHP", -19, 0, 0, 0, -10, -4, -33
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2019_08_19_000000_create_failed_jobs_table.php", "PHP", -23, 0, 0, 0, -10, -4, -37
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2019_12_14_000001_create_personal_access_tokens_table.php", "PHP", -24, 0, 0, 0, -10, -4, -38
"c:\Users\admin\source\repos\Silerium_laravel\database\migrations\2023_09_21_065918_category_table.php", "PHP", -20, 0, 0, 0, -10, -4, -34
